Institution Name,Has Resource(s),Has Project(s),IPEDS,Weird Stuff,NCES,"Google Lat, Lon",Group,_merge,UNITID,LON,LAT,unitid,name,city,hbcu,tribal,msi,iclevel,Benefited From
University of Wisconsin-Madison,FALSE,TRUE,240444,,,,43,both,240444,-89.404098,43.075409,240444,University of Wisconsin-Madison,Madison,FALSE,FALSE,FALSE,Four or more years,TRUE
Pennsylvania State University,FALSE,TRUE,495767,,,,46,both,495767,-77.862848,40.7965,495767,The Pennsylvania State University,University Park,FALSE,FALSE,FALSE,Four or more years,TRUE
Argonne National Laboratory,FALSE,TRUE,,TRUE,,"41.717702118417826, -87.97779883027358",49,both,,-87.97779883,41.71770212,,,,,,,,TRUE
Fermilab,FALSE,TRUE,,TRUE,,"41.838425845702055, -88.26182229489123",50,both,,-88.26182229,41.83842585,,,,,,,,TRUE
OSG,FALSE,TRUE,,,,"43.07227800381882, -89.40075425604951",51,both,,-89.40075426,43.072278,,,,,,,,TRUE
Open Science Grid,FALSE,TRUE,,,,"43.07227800381882, -89.40075425604951",51,both,,-89.40075426,43.072278,,,,,,,,TRUE
Cedars-Sinai Medical Center,FALSE,TRUE,,,,"34.1078923200178, -118.35237775517642",,left_only,,-118.3523778,34.10789232,,,,,,,,TRUE
Memorial Sloan Kettering Cancer Center,FALSE,TRUE,,,,"40.76234715857106, -73.97207596946099",,left_only,,-73.97207597,40.76234716,,,,,,,,TRUE
NOIR Lab,FALSE,TRUE,,,,"32.23093159807336, -110.94673111435739",,left_only,,-110.9467311,32.2309316,,,,,,,,TRUE
Oregon Health & Science University,FALSE,TRUE,209490,,,,,left_only,209490,-122.686096,45.498772,209490,Oregon Health & Science University,Portland,FALSE,FALSE,FALSE,Four or more years,TRUE
Planetary Science Institute,FALSE,TRUE,,,,"32.2646967475822, -110.94301468396021",,left_only,,-110.9430147,32.26469675,,,,,,,,TRUE
